hex,count_good_aircraft,count_bad_aircraft
840c701ffffffff,0,38
8428d31ffffffff,32,0
8444db9ffffffff,31,0
842e183ffffffff,33,35
8444d87ffffffff,54,0
8428d35ffffffff,80,0
842e187ffffffff,45,50
840c709ffffffff,0,18
8444dabffffffff,23,0
842e1bdffffffff,22,37
8444d85ffffffff,13,0
8412d37ffffffff,9,0
8426c55ffffffff,30,41
8430d93ffffffff,0,57
842e625ffffffff,0,35
842e621ffffffff,0,30
8419093ffffffff,0,3
8444557ffffffff,0,7
8444551ffffffff,45,64
8444555ffffffff,25,116
842b817ffffffff,40,0
8429a01ffffffff,231,49
8426da3ffffffff,0,13
8429a1bffffffff,1,4
8429a19ffffffff,4,2
8426411ffffffff,0,52
84265b5ffffffff,0,12
8444501ffffffff,0,9
842db0dffffffff,147,22
842db05ffffffff,34,0
842a845ffffffff,0,17
842a847ffffffff,0,11
840c291ffffffff,0,8
840c295ffffffff,0,49
842f535ffffffff,0,4
842e2c9ffffffff,0,12
842e68dffffffff,12,15
842e6ebffffffff,0,10
842e681ffffffff,0,39
8426d9dffffffff,0,85
846990bffffffff,3,3
8469957ffffffff,6,0
8465205ffffffff,92,12
842ce5bffffffff,183,43
842ce59ffffffff,123,13
842c0b3ffffffff,91,40
842c0b1ffffffff,83,29
842c0b9ffffffff,26,31
8427641ffffffff,0,1
8427647ffffffff,18,0
8427605ffffffff,11,0
84129b9ffffffff,6,0
84129bdffffffff,16,0
8412987ffffffff,29,0
8412985ffffffff,30,1
84458a5ffffffff,11,0
84458adffffffff,27,0
84459dbffffffff,35,0
84459d9ffffffff,28,9
8445837ffffffff,11,0
8445051ffffffff,14,0
8445053ffffffff,32,7
84452a5ffffffff,16,13
844501bffffffff,21,9
84450cdffffffff,8,1
8444367ffffffff,30,0
8444361ffffffff,41,0
8444369ffffffff,23,18
8444b41ffffffff,8,1
8444b45ffffffff,31,0
8444b69ffffffff,13,0
84455bbffffffff,6,14
844466dffffffff,0,1
8430e1dffffffff,7,2
8430e15ffffffff,16,0
8430e11ffffffff,51,0
8430e13ffffffff,81,0
8430ec5ffffffff,84,0
8430ec7ffffffff,71,0
8430189ffffffff,6,21
8430181ffffffff,15,0
8430e8dffffffff,17,0
8430e89ffffffff,6,4
8430e81ffffffff,17,7
8413869ffffffff,12,0
8413b17ffffffff,40,2
8413b3bffffffff,26,0
8430e09ffffffff,150,23
8430e0dffffffff,63,0
844b039ffffffff,0,2
844b03dffffffff,8,25
844b02bffffffff,25,5
844b029ffffffff,16,19
844b02dffffffff,2,58
8444f07ffffffff,94,12
841b8ebffffffff,9,12
84276c7ffffffff,32,0
84276ebffffffff,43,0
84276e9ffffffff,38,2
84276edffffffff,6,0
842b9bdffffffff,57,3
841e523ffffffff,0,22
841e521ffffffff,10,31
841e529ffffffff,1,0
841e52dffffffff,22,0
841e567ffffffff,35,27
842b83bffffffff,89,2
842b831ffffffff,14,0
842b833ffffffff,10,0
841b9cbffffffff,0,23
841b837ffffffff,13,9
841b833ffffffff,30,0
842e1e9ffffffff,9,0
842e1edffffffff,42,6
842e1e5ffffffff,0,41
