hex,count_good_aircraft,count_bad_aircraft
840c701ffffffff,0,38
8428d31ffffffff,149,0
8444db9ffffffff,113,0
842e183ffffffff,148,35
8444d87ffffffff,456,0
8428d35ffffffff,141,0
842e187ffffffff,152,50
840c709ffffffff,0,32
8444dabffffffff,519,0
842e1bdffffffff,197,37
8444d85ffffffff,1154,0
8412d37ffffffff,9,0
8426c55ffffffff,393,41
8448c6dffffffff,719,0
84266d1ffffffff,234,0
84488edffffffff,78,0
8430d93ffffffff,140,60
84445a1ffffffff,945,0
84445adffffffff,71,38
84265b5ffffffff,223,12
842e625ffffffff,9,35
842e621ffffffff,44,30
84274d7ffffffff,46,1
8419093ffffffff,78,3
8444557ffffffff,179,7
8444551ffffffff,356,64
8444555ffffffff,480,116
84695d9ffffffff,418,22
8448593ffffffff,248,0
842b817ffffffff,170,0
8429a01ffffffff,1424,246
8426da3ffffffff,249,13
8429a1bffffffff,1608,200
8429a19ffffffff,2505,272
8426411ffffffff,91,52
8427a05ffffffff,163,0
842a927ffffffff,240,1
8448d31ffffffff,220,0
8429a43ffffffff,909,13
844983bffffffff,2,0
842af0dffffffff,154,2
84484bdffffffff,67,58
8444f09ffffffff,282,0
84485b5ffffffff,143,0
842ad43ffffffff,108,0
8444501ffffffff,233,9
8444c27ffffffff,161,45
8444c21ffffffff,601,16
8444c25ffffffff,386,46
8444d53ffffffff,126,13
842aa17ffffffff,136,51
842aa13ffffffff,250,66
842aae9ffffffff,331,2
8444529ffffffff,1059,12
8444509ffffffff,63,0
844452dffffffff,105,0
840d5a1ffffffff,61,0
840d5a3ffffffff,67,0
840c749ffffffff,27,0
840d5b5ffffffff,37,0
840c74bffffffff,10,0
8468717ffffffff,18,0
846846dffffffff,66,0
8444d5dffffffff,419,12
84271b7ffffffff,180,0
84bef0dffffffff,59,0
84274c5ffffffff,222,0
84274ebffffffff,73,0
84274e3ffffffff,174,0
84274a9ffffffff,103,0
840c73dffffffff,205,132
840c731ffffffff,1263,189
842aa4bffffffff,172,16
842b8b5ffffffff,246,0
84464b9ffffffff,1240,137
845e42bffffffff,55,9
845e423ffffffff,48,10
845e43dffffffff,55,0
845e435ffffffff,122,0
845e437ffffffff,53,0
84430bbffffffff,0,17
84430b9ffffffff,0,25
8443083ffffffff,0,16
843da11ffffffff,592,0
842db0dffffffff,311,22
842db05ffffffff,96,0
8428d51ffffffff,313,0
84275c1ffffffff,296,119
842a845ffffffff,371,17
842a847ffffffff,201,11
840c291ffffffff,0,8
840c295ffffffff,32,49
842af63ffffffff,201,32
842f535ffffffff,0,4
842e2c9ffffffff,0,12
8426097ffffffff,141,11
84260bbffffffff,190,37
842656dffffffff,263,15
840c747ffffffff,0,31
840c741ffffffff,0,15
842e68dffffffff,155,15
842e6ebffffffff,138,10
842e681ffffffff,99,39
8426d9dffffffff,0,85
84bee69ffffffff,354,0
842e605ffffffff,237,35
842e607ffffffff,106,48
842e63dffffffff,16,10
8426643ffffffff,493,0
8428f0dffffffff,460,0
84be6e1ffffffff,40,0
84be08dffffffff,934,19
84bef61ffffffff,158,0
84bef6dffffffff,366,0
849d581ffffffff,6,0
849d58dffffffff,28,0
849d585ffffffff,10,0
849d5e3ffffffff,41,0
84be0b9ffffffff,112,0
84be095ffffffff,110,0
84be09dffffffff,43,0
8444e55ffffffff,196,16
8444e0bffffffff,240,0
84275ebffffffff,89,25
84275e1ffffffff,0,90
84275e5ffffffff,90,5
84694e5ffffffff,292,0
8460f47ffffffff,24,0
8460f45ffffffff,75,0
8460f4dffffffff,27,0
843e693ffffffff,3,0
843e697ffffffff,23,0
846003bffffffff,10,0
846031bffffffff,131,0
843e623ffffffff,85,32
843e621ffffffff,71,0
843e691ffffffff,13,2
843e683ffffffff,57,33
848c8e1ffffffff,13,0
84698a3ffffffff,26,18
844ab6dffffffff,10,0
8465b41ffffffff,24,0
8465b43ffffffff,27,0
846501bffffffff,30,0
84698a9ffffffff,21,12
8465017ffffffff,101,33
84650edffffffff,34,12
8465231ffffffff,240,0
8465059ffffffff,462,10
8465205ffffffff,112,12
846991dffffffff,26,0
8469919ffffffff,75,0
846990bffffffff,24,3
8469957ffffffff,12,0
844b325ffffffff,8,10
8468157ffffffff,76,0
846810bffffffff,80,0
842ce1dffffffff,33,0
84681ddffffffff,17,0
8465a87ffffffff,10,0
8443315ffffffff,19,0
84536c5ffffffff,18,7
84536c7ffffffff,46,28
8453691ffffffff,63,0
8442a09ffffffff,36,0
8460d09ffffffff,54,0
8460189ffffffff,13,0
84536ebffffffff,55,53
842c18dffffffff,25,0
842c185ffffffff,3,0
84618c5ffffffff,96,0
842c997ffffffff,73,0
8442a19ffffffff,102,9
842c999ffffffff,69,0
842c8a5ffffffff,55,0
842c8adffffffff,17,0
842c9bbffffffff,43,0
844235dffffffff,11,0
8418347ffffffff,0,25
8418343ffffffff,11,22
843e62bffffffff,132,0
842d1b7ffffffff,31,36
8443191ffffffff,22,0
8443193ffffffff,14,0
844224dffffffff,13,0
8442241ffffffff,13,0
84694edffffffff,583,26
842c80dffffffff,32,14
843f1d3ffffffff,8,0
844332bffffffff,28,0
8442f45ffffffff,12,12
847ad9bffffffff,10,0
842c00bffffffff,112,64
842ca1dffffffff,148,9
842ca19ffffffff,54,23
84534b9ffffffff,31,0
8460f65ffffffff,50,12
84536e9ffffffff,152,42
8453617ffffffff,231,2
84446c3ffffffff,1393,38
842c809ffffffff,15,4
84536bbffffffff,146,49
8443a49ffffffff,105,6
8442a93ffffffff,20,1
847ac95ffffffff,21,0
8464929ffffffff,23,0
8441489ffffffff,65,27
8460f2dffffffff,80,0
843cb69ffffffff,29,0
842c86bffffffff,46,4
842c845ffffffff,94,4
842c84dffffffff,113,0
842ce5bffffffff,257,43
842ce59ffffffff,172,13
842c0b3ffffffff,131,40
842c0b1ffffffff,83,29
842c0b9ffffffff,26,31
845d145ffffffff,402,19
845d169ffffffff,756,0
845d105ffffffff,387,14
845d163ffffffff,48,0
845d161ffffffff,40,0
845d10dffffffff,246,0
845d16bffffffff,196,0
845d16dffffffff,129,0
84441e7ffffffff,275,0
84441e3ffffffff,155,0
844418dffffffff,36,0
8444189ffffffff,23,0
8426d19ffffffff,130,0
8426d1dffffffff,201,0
8426d03ffffffff,220,0
8426d07ffffffff,261,0
8444307ffffffff,4,0
8444301ffffffff,37,0
844430bffffffff,17,0
8444309ffffffff,7,0
8444355ffffffff,39,0
844435dffffffff,17,0
8426d01ffffffff,210,0
8426d05ffffffff,172,0
8426d29ffffffff,134,0
8444c2dffffffff,235,0
8444d5bffffffff,129,0
8444c67ffffffff,252,0
8444c65ffffffff,126,0
842aa69ffffffff,196,0
842aa45ffffffff,161,0
842aa41ffffffff,171,0
842aa49ffffffff,214,0
842b8a3ffffffff,299,0
8448ebbffffffff,2144,72
842a841ffffffff,203,0
842a849ffffffff,130,0
842aa23ffffffff,264,0
842aa35ffffffff,93,0
842aa3dffffffff,210,0
842aa39ffffffff,312,0
842a103ffffffff,1443,0
842a8b5ffffffff,213,0
842a8bdffffffff,198,0
842a8b9ffffffff,204,0
842a887ffffffff,119,0
842a883ffffffff,141,0
842a88bffffffff,41,0
844599dffffffff,59,0
844598bffffffff,33,0
8445989ffffffff,22,0
84459c7ffffffff,33,0
8444dc9ffffffff,334,0
842ab25ffffffff,1599,14
842ab2dffffffff,400,0
842ab21ffffffff,410,0
842ab27ffffffff,511,88
842a94dffffffff,536,0
8426ea9ffffffff,957,0
8426ea1ffffffff,238,0
8426ea7ffffffff,103,0
8426ccdffffffff,268,0
8426cb3ffffffff,244,0
844469bffffffff,218,0
84489a5ffffffff,195,0
8444699ffffffff,262,0
84446d3ffffffff,403,0
8426d63ffffffff,58,0
8426d0dffffffff,137,0
8426d09ffffffff,211,0
8426d55ffffffff,109,0
8426ec5ffffffff,128,0
8426ee9ffffffff,336,0
8426eedffffffff,82,0
8426e33ffffffff,126,0
8426d57ffffffff,95,0
8426c25ffffffff,116,0
8426d1bffffffff,24,0
8426c27ffffffff,103,0
842a8c1ffffffff,426,31
842a8c7ffffffff,322,0
842a88dffffffff,472,0
842a885ffffffff,231,24
842664dffffffff,1237,54
8427593ffffffff,2386,94
8427493ffffffff,393,0
8427497ffffffff,273,0
84274bbffffffff,289,0
84274b3ffffffff,138,0
84441b3ffffffff,72,0
84441b1ffffffff,99,0
84441bdffffffff,168,0
84441abffffffff,425,0
8448dc3ffffffff,138,0
8448dddffffffff,140,0
8448dd1ffffffff,138,0
8448ddbffffffff,210,0
84441a9ffffffff,537,351
84299cbffffffff,121,5
84299ddffffffff,55,0
8429837ffffffff,82,0
84299d9ffffffff,111,0
8429833ffffffff,101,0
84298edffffffff,170,0
8448ce5ffffffff,136,0
8448c33ffffffff,11,0
8448dd9ffffffff,207,0
8448c37ffffffff,4,0
8444dc3ffffffff,225,19
8444dddffffffff,372,14
8444dcbffffffff,242,0
8444c37ffffffff,157,0
8444c35ffffffff,194,0
8444c3dffffffff,331,0
84266bbffffffff,163,0
8444c93ffffffff,122,0
8444c97ffffffff,77,0
8444cbbffffffff,102,0
84489b1ffffffff,410,0
84489b5ffffffff,157,0
84489b7ffffffff,254,0
8426cb5ffffffff,105,0
8426ca3ffffffff,457,20
8426cbdffffffff,1385,101
8426c09ffffffff,17,0
8426c0bffffffff,78,0
8426c01ffffffff,67,0
8426c03ffffffff,117,0
8426c07ffffffff,120,0
842646bffffffff,78,0
8426445ffffffff,209,0
8426441ffffffff,139,106
8426449ffffffff,264,0
8426635ffffffff,110,0
842663dffffffff,205,0
848f2a5ffffffff,12,0
848f01bffffffff,41,0
848f013ffffffff,31,0
8429b6dffffffff,1772,0
8448e97ffffffff,1156,1
8444ebbffffffff,196,0
8444e95ffffffff,158,0
8444e83ffffffff,157,0
8444e8bffffffff,322,0
8444e81ffffffff,223,0
8426f65ffffffff,428,0
84268d9ffffffff,430,0
8426ab7ffffffff,332,0
84268cbffffffff,408,0
844cf57ffffffff,18,0
844cf51ffffffff,5,0
844cf55ffffffff,39,0
844cf43ffffffff,52,0
841a96bffffffff,27,0
8445a8dffffffff,20,0
8445ac7ffffffff,38,0
8445ac1ffffffff,38,0
8445ac9ffffffff,25,0
842749bffffffff,406,0
84275c9ffffffff,173,0
8427435ffffffff,287,51
842743dffffffff,297,4
8427407ffffffff,219,0
8444a03ffffffff,47,0
8444a07ffffffff,58,0
8444a05ffffffff,49,0
8444a29ffffffff,28,0
8426b27ffffffff,24,0
842694dffffffff,105,0
8426945ffffffff,212,0
842696bffffffff,295,7
8426d67ffffffff,65,0
844454bffffffff,37,0
8444737ffffffff,65,0
8444559ffffffff,28,0
8444465ffffffff,603,0
8444467ffffffff,125,0
84441d9ffffffff,44,0
84440e5ffffffff,45,0
84440e7ffffffff,156,0
84440e3ffffffff,76,0
844408dffffffff,38,0
84446e1ffffffff,167,0
84446ebffffffff,195,0
84446c7ffffffff,291,0
842af25ffffffff,118,0
842a899ffffffff,139,0
842a891ffffffff,223,0
842a895ffffffff,169,0
842a8bbffffffff,150,0
842a129ffffffff,304,0
842a105ffffffff,950,0
842a101ffffffff,897,0
842b89bffffffff,164,0
842a327ffffffff,254,0
842a321ffffffff,266,0
842a32bffffffff,245,0
842aa0bffffffff,289,0
842aa03ffffffff,255,0
842aa31ffffffff,260,0
842aad5ffffffff,64,0
842aac3ffffffff,286,0
842aacbffffffff,1033,0
8426d0bffffffff,108,0
842b891ffffffff,340,0
842a325ffffffff,140,0
8448a1dffffffff,18,0
8448a11ffffffff,17,0
